incidence
0.0
0.0
0.0
2.0
4.0
3.0
4.0
1.0
5.0
5.0
8.0
10.0
6.0
9.0
12.0
4.0
6.0
11.0
13.0
15.0
24.0
16.0
20.0
17.0
18.0
18.0
20.0
29.0
49.0
33.0
24.0
39.0
32.0
36.0
49.0
47.0
43.0
44.0
54.0
56.0
70.0
62.0
85.0
107.0
90.0
126.0
123.0
146.0
143.0
151.0
157.0
179.0
199.0
191.0
210.0
246.0
244.0
296.0
318.0
334.0
322.0
359.0
406.0
413.0
442.0
469.0
568.0
586.0
647.0
635.0
770.0
796.0
820.0
908.0
938.0
976.0
1102.0
1104.0
1198.0
1269.0
1286.0
1354.0
1366.0
1460.0
1460.0
1494.0
1636.0
1631.0
1675.0
1729.0
1674.0
1749.0
1712.0
1705.0
1696.0
1745.0
1695.0
1641.0
1664.0
1575.0
1628.0
1507.0
1426.0
1391.0
1290.0
1329.0
1235.0
1176.0
1061.0
986.0
940.0
912.0
774.0
872.0
704.0
663.0
596.0
549.0
523.0
481.0
423.0
379.0
364.0
342.0
326.0
273.0
252.0
235.0
243.0
223.0
190.0
165.0
174.0
149.0
111.0
129.0
112.0
108.0
97.0
75.0
98.0
70.0
78.0
62.0
49.0
54.0
46.0
44.0
33.0
28.0
