Приволжский ФО , Самара , ЦГиЭ;;;;;;;;;;;;;;;;
;;Число образцов тестированных на грипп;A (субтип не определен);A(H1)pdm09;A(H3);B;Число образцов тестированных на другие ОРВИ;Парагрипп;Аденовирус;РС-вирус;Риновирус;Коронавирус;Метапневмовирус;Бокавирус;Число образцов тестированных на COVID-19;COVID-19
;;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего;Всего
2014.50 (08.12.2014 - 14.12.2014);Н;13;0;0;0;0;0;0;0;0;0;0;0;0;;
2014.51 (15.12.2014 - 21.12.2014);;;;;;;;;;;;;;;;
2014.52 (22.12.2014 - 28.12.2014);Н;29;0;0;1;0;0;0;0;0;0;0;0;0;;
2015.1 (29.12.2014 - 04.01.2015);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.2 (05.01.2015 - 11.01.2015);;;;;;;;;;;;;;;;
2015.3 (12.01.2015 - 18.01.2015);Н;11;0;0;3;0;0;0;0;0;0;0;0;0;;
2015.4 (19.01.2015 - 25.01.2015);Н;13;0;0;2;0;0;0;0;0;0;0;0;0;;
2015.5 (26.01.2015 - 01.02.2015);Н;7;0;0;1;0;0;0;0;0;0;0;0;0;;
2015.6 (02.02.2015 - 08.02.2015);Н;20;0;1;10;0;0;0;0;0;0;0;0;0;;
2015.7 (09.02.2015 - 15.02.2015);Н;22;0;0;9;1;0;0;0;0;0;0;0;0;;
2015.8 (16.02.2015 - 22.02.2015);Н;42;0;0;13;9;0;0;0;0;0;0;0;0;;
2015.9 (23.02.2015 - 01.03.2015);Н;28;0;0;8;7;0;0;0;0;0;0;0;0;;
2015.10 (02.03.2015 - 08.03.2015);Н;38;0;0;9;14;0;0;0;0;0;0;0;0;;
2015.11 (09.03.2015 - 15.03.2015);Н;22;0;0;4;7;0;0;0;0;0;0;0;0;;
2015.12 (16.03.2015 - 22.03.2015);Н;16;0;0;3;7;0;0;0;0;0;0;0;0;;
2015.13 (23.03.2015 - 29.03.2015);Н;8;0;0;1;4;0;0;0;0;0;0;0;0;;
2015.14 (30.03.2015 - 05.04.2015);Н;16;0;0;0;6;0;0;0;0;0;0;0;0;;
2015.15 (06.04.2015 - 12.04.2015);Н;8;0;0;0;2;0;0;0;0;0;0;0;0;;
2015.16 (13.04.2015 - 19.04.2015);Н;7;0;0;1;2;0;0;0;0;0;0;0;0;;
2015.17 (20.04.2015 - 26.04.2015);Н;7;0;0;1;2;0;0;0;0;0;0;0;0;;
2015.18 (27.04.2015 - 03.05.2015);;;;;;;;;;;;;;;;
2015.19 (04.05.2015 - 10.05.2015);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.20 (11.05.2015 - 17.05.2015);Н;5;0;0;0;1;0;0;0;0;0;0;0;0;;
2015.21 (18.05.2015 - 24.05.2015);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.22 (25.05.2015 - 31.05.2015);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.23 (01.06.2015 - 07.06.2015);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.24 (08.06.2015 - 14.06.2015);;;;;;;;;;;;;;;;
2015.25 (15.06.2015 - 21.06.2015);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.26 (22.06.2015 - 28.06.2015);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.27 (29.06.2015 - 05.07.2015);;;;;;;;;;;;;;;;
2015.28 (06.07.2015 - 12.07.2015);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.29 (13.07.2015 - 19.07.2015);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.30 (20.07.2015 - 26.07.2015);;;;;;;;;;;;;;;;
2015.31 (27.07.2015 - 02.08.2015);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.32 (03.08.2015 - 09.08.2015);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.33 (10.08.2015 - 16.08.2015);;;;;;;;;;;;;;;;
2015.34 (17.08.2015 - 23.08.2015);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.35 (24.08.2015 - 30.08.2015);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.36 (31.08.2015 - 06.09.2015);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.37 (07.09.2015 - 13.09.2015);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.38 (14.09.2015 - 20.09.2015);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.39 (21.09.2015 - 27.09.2015);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.40 (28.09.2015 - 04.10.2015);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.41 (05.10.2015 - 11.10.2015);Н;7;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.42 (12.10.2015 - 18.10.2015);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.43 (19.10.2015 - 25.10.2015);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.44 (26.10.2015 - 01.11.2015);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.45 (02.11.2015 - 08.11.2015);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.46 (09.11.2015 - 15.11.2015);Н;11;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.47 (16.11.2015 - 22.11.2015);Н;12;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.48 (23.11.2015 - 29.11.2015);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.49 (30.11.2015 - 06.12.2015);Н;13;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.50 (07.12.2015 - 13.12.2015);;;;;;;;;;;;;;;;
2015.51 (14.12.2015 - 20.12.2015);Н;15;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.52 (21.12.2015 - 27.12.2015);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2015.53 (28.12.2015 - 03.01.2016);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.1 (04.01.2016 - 10.01.2016);;;;;;;;;;;;;;;;
2016.2 (11.01.2016 - 17.01.2016);Н;9;0;1;0;0;0;0;0;0;0;0;0;0;;
2016.3 (18.01.2016 - 24.01.2016);Н;20;0;8;0;0;0;0;0;0;0;0;0;0;;
2016.4 (25.01.2016 - 31.01.2016);Н;69;0;24;0;0;0;0;0;0;0;0;0;0;;
2016.5 (01.02.2016 - 07.02.2016);Н;113;0;44;1;0;0;0;0;0;0;0;0;0;;
2016.6 (08.02.2016 - 14.02.2016);Н;136;0;56;2;0;0;0;0;0;0;0;0;0;;
2016.7 (15.02.2016 - 21.02.2016);Н;129;0;56;2;1;0;0;0;0;0;0;0;0;;
2016.8 (22.02.2016 - 28.02.2016);Н;126;0;64;1;1;0;0;0;0;0;0;0;0;;
2016.9 (29.02.2016 - 06.03.2016);Н;99;0;36;1;0;0;0;0;0;0;0;0;0;;
2016.10 (07.03.2016 - 13.03.2016);Н;88;0;37;1;0;0;0;0;0;0;0;0;0;;
2016.11 (14.03.2016 - 20.03.2016);Н;64;0;27;0;0;0;0;0;0;0;0;0;0;;
2016.12 (21.03.2016 - 27.03.2016);Н;55;0;20;0;0;0;0;0;0;0;0;0;0;;
2016.13 (28.03.2016 - 03.04.2016);Н;39;0;21;0;0;0;0;0;0;0;0;0;0;;
2016.14 (04.04.2016 - 10.04.2016);Н;31;0;7;0;0;0;0;0;0;0;0;0;0;;
2016.15 (11.04.2016 - 17.04.2016);Н;24;0;9;0;0;0;0;0;0;0;0;0;0;;
2016.16 (18.04.2016 - 24.04.2016);Н;25;0;5;2;1;0;0;0;0;0;0;0;0;;
2016.17 (25.04.2016 - 01.05.2016);Н;21;0;4;0;0;0;0;0;0;0;0;0;0;;
2016.18 (02.05.2016 - 08.05.2016);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.19 (09.05.2016 - 15.05.2016);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.20 (16.05.2016 - 22.05.2016);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.21 (23.05.2016 - 29.05.2016);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.22 (30.05.2016 - 05.06.2016);;;;;;;;;;;;;;;;
2016.23 (06.06.2016 - 12.06.2016);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.24 (13.06.2016 - 19.06.2016);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.25 (20.06.2016 - 26.06.2016);;;;;;;;;;;;;;;;
2016.26 (27.06.2016 - 03.07.2016);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.27 (04.07.2016 - 10.07.2016);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.28 (11.07.2016 - 17.07.2016);;;;;;;;;;;;;;;;
2016.29 (18.07.2016 - 24.07.2016);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.30 (25.07.2016 - 31.07.2016);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.31 (01.08.2016 - 07.08.2016);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.32 (08.08.2016 - 14.08.2016);;;;;;;;;;;;;;;;
2016.33 (15.08.2016 - 21.08.2016);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.34 (22.08.2016 - 28.08.2016);;;;;;;;;;;;;;;;
2016.35 (29.08.2016 - 04.09.2016);;;;;;;;;;;;;;;;
2016.36 (05.09.2016 - 11.09.2016);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.37 (12.09.2016 - 18.09.2016);;;;;;;;;;;;;;;;
2016.38 (19.09.2016 - 25.09.2016);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.39 (26.09.2016 - 02.10.2016);;;;;;;;;;;;;;;;
2016.40 (03.10.2016 - 09.10.2016);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.41 (10.10.2016 - 16.10.2016);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.42 (17.10.2016 - 23.10.2016);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.43 (24.10.2016 - 30.10.2016);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.44 (31.10.2016 - 06.11.2016);;;;;;;;;;;;;;;;
2016.45 (07.11.2016 - 13.11.2016);Н;11;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.46 (14.11.2016 - 20.11.2016);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.47 (21.11.2016 - 27.11.2016);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.48 (28.11.2016 - 04.12.2016);Н;12;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.49 (05.12.2016 - 11.12.2016);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2016.50 (12.12.2016 - 18.12.2016);Н;8;0;0;3;0;0;0;0;0;0;0;0;0;;
2016.51 (19.12.2016 - 25.12.2016);Н;14;0;0;4;1;0;0;0;0;0;0;0;0;;
2016.52 (26.12.2016 - 01.01.2017);Н;40;0;0;32;1;0;0;0;0;0;0;0;0;;
2017.1 (02.01.2017 - 08.01.2017);Н;50;0;0;41;0;0;0;0;0;0;0;0;0;;
2017.2 (09.01.2017 - 15.01.2017);Н;30;0;0;24;0;0;0;0;0;0;0;0;0;;
2017.3 (16.01.2017 - 22.01.2017);Н;63;0;0;36;1;0;0;0;0;0;0;0;0;;
2017.4 (23.01.2017 - 29.01.2017);Н;59;0;0;36;2;0;0;0;0;0;0;0;0;;
2017.5 (30.01.2017 - 05.02.2017);;;;;;;;;;;;;;;;
2017.6 (06.02.2017 - 12.02.2017);Н;24;0;0;17;0;0;0;0;0;0;0;0;0;;
2017.7 (13.02.2017 - 19.02.2017);Н;53;0;0;24;1;0;0;0;0;0;0;0;0;;
2017.8 (20.02.2017 - 26.02.2017);Н;20;0;0;6;2;0;0;0;0;0;0;0;0;;
2017.9 (27.02.2017 - 05.03.2017);Н;33;0;0;10;5;0;0;0;0;0;0;0;0;;
2017.10 (06.03.2017 - 12.03.2017);Н;21;0;0;2;5;21;0;0;0;0;0;0;0;;
2017.11 (13.03.2017 - 19.03.2017);Н;21;0;0;6;2;21;0;0;0;0;0;0;0;;
2017.12 (20.03.2017 - 26.03.2017);Н;12;0;0;1;4;0;0;0;0;0;0;0;0;;
2017.13 (27.03.2017 - 02.04.2017);Н;28;0;0;0;8;0;0;0;0;0;0;0;0;;
2017.14 (03.04.2017 - 09.04.2017);Н;27;0;0;0;11;0;0;0;0;0;0;0;0;;
2017.15 (10.04.2017 - 16.04.2017);Н;28;0;0;0;9;0;0;0;0;0;0;0;0;;
2017.16 (17.04.2017 - 23.04.2017);Н;19;0;0;1;10;0;0;0;0;0;0;0;0;;
2017.17 (24.04.2017 - 30.04.2017);Н;27;0;0;2;5;0;0;0;0;0;0;0;0;;
2017.18 (01.05.2017 - 07.05.2017);Н;15;0;0;0;5;0;0;0;0;0;0;0;0;;
2017.19 (08.05.2017 - 14.05.2017);Н;8;0;0;0;4;0;0;0;0;0;0;0;0;;
2017.20 (15.05.2017 - 21.05.2017);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.21 (22.05.2017 - 28.05.2017);;;;;;;;;;;;;;;;
2017.22 (29.05.2017 - 04.06.2017);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.23 (05.06.2017 - 11.06.2017);Н;8;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.24 (12.06.2017 - 18.06.2017);Н;3;0;0;0;1;0;0;0;0;0;0;0;0;;
2017.25 (19.06.2017 - 25.06.2017);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.26 (26.06.2017 - 02.07.2017);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.27 (03.07.2017 - 09.07.2017);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.28 (10.07.2017 - 16.07.2017);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.29 (17.07.2017 - 23.07.2017);;;;;;;;;;;;;;;;
2017.30 (24.07.2017 - 30.07.2017);;;;;;;;;;;;;;;;
2017.31 (31.07.2017 - 06.08.2017);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.32 (07.08.2017 - 13.08.2017);;;;;;;;;;;;;;;;
2017.33 (14.08.2017 - 20.08.2017);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.34 (21.08.2017 - 27.08.2017);;;;;;;;;;;;;;;;
2017.35 (28.08.2017 - 03.09.2017);Н;15;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.36 (04.09.2017 - 10.09.2017);;;;;;;;;;;;;;;;
2017.37 (11.09.2017 - 17.09.2017);Н;11;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.38 (18.09.2017 - 24.09.2017);;;;;;;;;;;;;;;;
2017.39 (25.09.2017 - 01.10.2017);Н;10;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.40 (02.10.2017 - 08.10.2017);;;;;;;;;;;;;;;;
2017.41 (09.10.2017 - 15.10.2017);Н;14;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.42 (16.10.2017 - 22.10.2017);Н;8;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.43 (23.10.2017 - 29.10.2017);Н;13;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.44 (30.10.2017 - 05.11.2017);Н;15;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.45 (06.11.2017 - 12.11.2017);Н;7;0;0;0;0;3;0;0;0;0;0;0;0;;
2017.46 (13.11.2017 - 19.11.2017);Н;12;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.47 (20.11.2017 - 26.11.2017);Н;12;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.48 (27.11.2017 - 03.12.2017);;;;;;;;;;;;;;;;
2017.49 (04.12.2017 - 10.12.2017);Н;22;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.50 (11.12.2017 - 17.12.2017);Н;12;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.51 (18.12.2017 - 24.12.2017);Н;20;0;0;0;0;0;0;0;0;0;0;0;0;;
2017.52 (25.12.2017 - 31.12.2017);Н;14;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.1 (01.01.2018 - 07.01.2018);;;;;;;;;;;;;;;;
2018.2 (08.01.2018 - 14.01.2018);Н;14;0;1;1;1;0;0;0;0;0;0;0;0;;
2018.3 (15.01.2018 - 21.01.2018);Н;21;0;1;2;2;0;0;0;0;0;0;0;0;;
2018.4 (22.01.2018 - 28.01.2018);Н;17;0;1;3;1;0;0;0;0;0;0;0;0;;
2018.5 (29.01.2018 - 04.02.2018);Н;32;0;0;17;2;0;0;0;0;0;0;0;0;;
2018.6 (05.02.2018 - 11.02.2018);Н;25;0;0;13;4;0;0;0;0;0;0;0;0;;
2018.7 (12.02.2018 - 18.02.2018);Н;42;0;0;25;2;0;0;0;0;0;0;0;0;;
2018.8 (19.02.2018 - 25.02.2018);Н;63;0;0;35;10;0;0;0;0;0;0;0;0;;
2018.9 (26.02.2018 - 04.03.2018);Н;52;0;1;26;8;0;0;0;0;0;0;0;0;;
2018.10 (05.03.2018 - 11.03.2018);Н;47;0;1;13;15;0;0;0;0;0;0;0;0;;
2018.11 (12.03.2018 - 18.03.2018);Н;60;0;2;23;12;0;0;0;0;0;0;0;0;;
2018.12 (19.03.2018 - 25.03.2018);Н;42;0;3;11;10;0;0;0;0;0;0;0;0;;
2018.13 (26.03.2018 - 01.04.2018);Н;27;0;0;9;4;0;0;0;0;0;0;0;0;;
2018.14 (02.04.2018 - 08.04.2018);Н;29;0;1;5;2;0;0;0;0;0;0;0;0;;
2018.15 (09.04.2018 - 15.04.2018);Н;12;0;0;4;1;0;0;0;0;0;0;0;0;;
2018.16 (16.04.2018 - 22.04.2018);Н;24;0;1;4;5;0;0;0;0;0;0;0;0;;
2018.17 (23.04.2018 - 29.04.2018);Н;21;0;0;1;4;0;0;0;0;0;0;0;0;;
2018.18 (30.04.2018 - 06.05.2018);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.19 (07.05.2018 - 13.05.2018);Н;18;0;0;2;1;0;0;0;0;0;0;0;0;;
2018.20 (14.05.2018 - 20.05.2018);Н;8;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.21 (21.05.2018 - 27.05.2018);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.22 (28.05.2018 - 03.06.2018);Н;8;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.23 (04.06.2018 - 10.06.2018);Н;13;0;0;0;1;0;0;0;0;0;0;0;0;;
2018.24 (11.06.2018 - 17.06.2018);Н;11;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.25 (18.06.2018 - 24.06.2018);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.26 (25.06.2018 - 01.07.2018);Н;11;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.27 (02.07.2018 - 08.07.2018);Н;8;0;1;0;0;0;0;0;0;0;0;0;0;;
2018.28 (09.07.2018 - 15.07.2018);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.29 (16.07.2018 - 22.07.2018);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.30 (23.07.2018 - 29.07.2018);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.31 (30.07.2018 - 05.08.2018);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.32 (06.08.2018 - 12.08.2018);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.33 (13.08.2018 - 19.08.2018);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.34 (20.08.2018 - 26.08.2018);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.35 (27.08.2018 - 02.09.2018);;;;;;;;;;;;;;;;
2018.36 (03.09.2018 - 09.09.2018);;;;;;;;;;;;;;;;
2018.37 (10.09.2018 - 16.09.2018);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.38 (17.09.2018 - 23.09.2018);Н;4;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.39 (24.09.2018 - 30.09.2018);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.40 (01.10.2018 - 07.10.2018);Н;8;0;0;0;0;4;0;0;0;0;0;0;0;;
2018.41 (08.10.2018 - 14.10.2018);Н;9;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.42 (15.10.2018 - 21.10.2018);Н;5;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.43 (22.10.2018 - 28.10.2018);Н;6;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.44 (29.10.2018 - 04.11.2018);Н;8;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.45 (05.11.2018 - 11.11.2018);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.46 (12.11.2018 - 18.11.2018);Н;13;0;1;0;0;0;0;0;0;0;0;0;0;;
2018.47 (19.11.2018 - 25.11.2018);;;;;;;;;;;;;;;;
2018.48 (26.11.2018 - 02.12.2018);Н;13;0;1;0;0;0;0;0;0;0;0;0;0;;
2018.49 (03.12.2018 - 09.12.2018);Н;8;0;1;0;0;0;0;0;0;0;0;0;0;;
2018.50 (10.12.2018 - 16.12.2018);;;;;;;;;;;;;;;;
2018.51 (17.12.2018 - 23.12.2018);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2018.52 (24.12.2018 - 30.12.2018);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2019.1 (31.12.2018 - 06.01.2019);Н;3;1;0;0;0;0;0;0;0;0;0;0;0;;
2019.2 (07.01.2019 - 13.01.2019);;;;;;;;;;;;;;;;
2019.3 (14.01.2019 - 20.01.2019);;;;;;;;;;;;;;;;
2019.4 (21.01.2019 - 27.01.2019);;;;;;;;;;;;;;;;
2019.5 (28.01.2019 - 03.02.2019);;;;;;;;;;;;;;;;
2019.6 (04.02.2019 - 10.02.2019);Н;17;0;3;0;0;13;0;0;3;0;0;0;0;;
2019.7 (11.02.2019 - 17.02.2019);Н;6;0;2;0;0;0;0;0;0;0;0;0;0;;
2019.8 (18.02.2019 - 24.02.2019);Н;7;0;1;1;0;0;0;0;0;0;0;0;0;;
2019.9 (25.02.2019 - 03.03.2019);Н;49;0;3;0;0;0;0;0;0;0;0;0;0;;
2019.10 (04.03.2019 - 10.03.2019);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2019.11 (11.03.2019 - 17.03.2019);Н;6;0;3;0;0;0;0;0;0;0;0;0;0;;
2019.12 (18.03.2019 - 24.03.2019);Н;23;0;0;0;0;0;0;0;0;0;0;0;0;;
2019.13 (25.03.2019 - 31.03.2019);;;;;;;;;;;;;;;;
2019.14 (01.04.2019 - 07.04.2019);;;;;;;;;;;;;;;;
2019.15 (08.04.2019 - 14.04.2019);Н;2;0;0;0;0;0;0;0;0;0;0;0;0;;
2019.16 (15.04.2019 - 21.04.2019);Н;16;0;0;0;0;0;0;0;0;0;0;0;0;;
2019.17 (22.04.2019 - 28.04.2019);;;;;;;;;;;;;;;;
2019.18 (29.04.2019 - 05.05.2019);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2019.19 (06.05.2019 - 12.05.2019);;;;;;;;;;;;;;;;
2019.20 (13.05.2019 - 19.05.2019);;;;;;;;;;;;;;;;
2019.21 (20.05.2019 - 26.05.2019);Н;10;0;0;0;0;10;0;0;1;0;0;0;0;;
2019.22 (27.05.2019 - 02.06.2019);;;;;;;;;;;;;;;;
2019.23 (03.06.2019 - 09.06.2019);;;;;;;;;;;;;;;;
2019.24 (10.06.2019 - 16.06.2019);;;;;;;;;;;;;;;;
2019.25 (17.06.2019 - 23.06.2019);;;;;;;;;;;;;;;;
2019.26 (24.06.2019 - 30.06.2019);;;;;;;;;;;;;;;;
2019.27 (01.07.2019 - 07.07.2019);;;;;;;;;;;;;;;;
2019.28 (08.07.2019 - 14.07.2019);;;;;;;;;;;;;;;;
2019.29 (15.07.2019 - 21.07.2019);;;;;;;;;;;;;;;;
2019.30 (22.07.2019 - 28.07.2019);;;;;;;;;;;;;;;;
2019.31 (29.07.2019 - 04.08.2019);;;;;;;;;;;;;;;;
2019.32 (05.08.2019 - 11.08.2019);Н;6;0;0;0;0;6;0;0;0;0;0;0;0;;
2019.33 (12.08.2019 - 18.08.2019);;;;;;;;;;;;;;;;
2019.34 (19.08.2019 - 25.08.2019);;;;;;;;;;;;;;;;
2019.35 (26.08.2019 - 01.09.2019);;;;;;;;;;;;;;;;
2019.36 (02.09.2019 - 08.09.2019);;;;;;;;;;;;;;;;
2019.37 (09.09.2019 - 15.09.2019);;;;;;;;;;;;;;;;
2019.38 (16.09.2019 - 22.09.2019);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2019.39 (23.09.2019 - 29.09.2019);;;;;;;;;;;;;;;;
2019.40 (30.09.2019 - 06.10.2019);;;;;;;;;;;;;;;;
2019.41 (07.10.2019 - 13.10.2019);;;;;;;;;;;;;;;;
2019.42 (14.10.2019 - 20.10.2019);;;;;;;;;;;;;;;;
2019.43 (21.10.2019 - 27.10.2019);;;;;;;;;;;;;;;;
2019.44 (28.10.2019 - 03.11.2019);Н;6;0;0;0;0;6;0;0;0;0;0;0;0;;
2019.45 (04.11.2019 - 10.11.2019);;;;;;;;;;;;;;;;
2019.46 (11.11.2019 - 17.11.2019);;;;;;;;;;;;;;;;
2019.47 (18.11.2019 - 24.11.2019);;;;;;;;;;;;;;;;
2019.48 (25.11.2019 - 01.12.2019);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2019.49 (02.12.2019 - 08.12.2019);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2019.50 (09.12.2019 - 15.12.2019);;;;;;;;;;;;;;;;
2019.51 (16.12.2019 - 22.12.2019);Н;3;0;0;0;0;0;0;0;0;0;0;0;0;;
2019.52 (23.12.2019 - 29.12.2019);;;;;;;;;;;;;;;;
2020.1 (30.12.2019 - 05.01.2020);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2020.2 (06.01.2020 - 12.01.2020);Н;1;0;0;0;0;0;0;0;0;0;0;0;0;;
2020.3 (13.01.2020 - 19.01.2020);Н;12;0;1;0;3;0;0;0;0;0;0;0;0;;
2020.4 (20.01.2020 - 26.01.2020);Н;21;0;4;0;0;0;0;0;0;0;0;0;0;;
2020.5 (27.01.2020 - 02.02.2020);;;;;;;;;;;;;;;;
2020.6 (03.02.2020 - 09.02.2020);Н;22;0;3;1;3;0;0;0;0;0;0;0;0;;
2020.7 (10.02.2020 - 16.02.2020);Н;28;0;2;0;1;0;0;0;0;0;0;0;0;;
2020.8 (17.02.2020 - 23.02.2020);Н;43;0;6;0;1;0;0;0;0;0;0;0;0;;
2020.9 (24.02.2020 - 01.03.2020);;;;;;;;;;;;;;;;
2020.10 (02.03.2020 - 08.03.2020);Н;128;0;7;1;5;0;0;0;0;0;0;0;0;;
2020.11 (09.03.2020 - 15.03.2020);Н;57;0;10;1;4;0;0;0;0;0;0;0;0;;
2020.12 (16.03.2020 - 22.03.2020);Н;56;0;11;1;3;0;0;0;0;0;0;0;0;;
2020.13 (23.03.2020 - 29.03.2020);Н;37;0;1;1;4;0;0;0;0;0;0;0;0;;
2020.14 (30.03.2020 - 05.04.2020);;;;;;;;;;;;;;;;
2020.15 (06.04.2020 - 12.04.2020);Н;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
