S_H1N1,E_H1N1,I_H1N1,R_H1N1,beta_H1N1,S_H3N2,E_H3N2,I_H3N2,R_H3N2,beta_H3N2,S_B,E_B,I_B,R_B,beta_B
297875.0,26513.0,204175.0,266773.0,3.7817360747973956e-09,548751.0,0.0,0.0,195757.0,,548688.0,0.0,0.0,195800.0,
270699.0,27177.0,168196.0,329264.0,5.822911323810037e-07,500160.0,0.0,0.0,252224.0,,499912.0,0.0,0.0,252260.0,
267787.0,30088.0,153015.0,344446.0,2.4404870273934652e-11,488320.0,0.0,0.0,266769.0,,488105.0,0.0,0.0,266790.0,
265615.0,5084.0,137502.0,387135.0,7.440873504467833e-07,455050.0,0.0,0.0,308993.0,,454898.0,0.0,0.0,308975.0,
257369.0,10418.0,130816.0,396733.0,8.649166749920441e-08,447546.0,0.0,0.0,316764.0,,447440.0,0.0,0.0,316831.0,
256842.0,8773.0,59003.0,470718.0,1.4332425203553725e-07,389837.0,0.0,0.0,390633.0,,389810.0,0.0,0.0,390707.0,
253076.0,4293.0,67019.0,470948.0,4.861770179729498e-07,389665.0,0.0,0.0,390071.0,,389629.0,0.0,0.0,390125.0,
251233.0,5609.0,41034.0,497460.0,5.1119909554364665e-08,368892.0,0.0,0.0,416151.0,,368849.0,0.0,0.0,416200.0,
250654.0,2422.0,44799.0,497461.0,3.3538015127216814e-07,368891.0,0.0,0.0,416043.0,,368848.0,0.0,0.0,416057.0,
248975.0,2258.0,19466.0,524637.0,3.8027070962176817e-07,347739.0,0.0,0.0,442850.0,,347703.0,0.0,0.0,442866.0,
248956.0,1698.0,17133.0,527549.0,1.3574459662865736e-07,345464.0,0.0,0.0,445758.0,,345443.0,0.0,0.0,445773.0,
247870.0,1105.0,16640.0,529721.0,4.070740400520124e-07,343757.0,0.0,0.0,447678.0,,343775.0,0.0,0.0,447708.0,
247634.0,1322.0,8413.0,537967.0,9.119949619939108e-09,337338.0,0.0,0.0,455877.0,,337271.0,0.0,0.0,455898.0,
247535.0,335.0,8972.0,538494.0,4.889944680677201e-07,336927.0,0.0,0.0,456382.0,,336853.0,0.0,0.0,456394.0,
247197.0,437.0,5442.0,542260.0,1.754325878077233e-07,333953.0,0.0,0.0,460081.0,,333899.0,0.0,0.0,460082.0,
247103.0,432.0,3698.0,544103.0,1.083403588408218e-07,332542.0,0.0,0.0,461909.0,,332493.0,0.0,0.0,461905.0,
246747.0,450.0,3457.0,544682.0,3.962465003945777e-07,332072.0,0.0,0.0,462408.0,,332058.0,0.0,0.0,462407.0,
246731.0,372.0,1872.0,546361.0,2.0351587442873094e-07,330762.0,0.0,0.0,464083.0,,330746.0,0.0,0.0,464083.0,
246611.0,136.0,2209.0,546380.0,6.534943511351699e-07,330747.0,0.0,0.0,464081.0,,330732.0,0.0,0.0,464074.0,
246582.0,149.0,1139.0,547466.0,5.696851355240704e-08,329913.0,0.0,0.0,465161.0,,329883.0,0.0,0.0,465156.0,
246549.0,62.0,1023.0,547702.0,4.757758205708551e-07,329724.0,0.0,0.0,465389.0,,329703.0,0.0,0.0,465383.0,
246520.0,62.0,953.0,547801.0,1.2343915445711544e-07,329647.0,0.0,0.0,465480.0,,329635.0,0.0,0.0,465478.0,
246508.0,41.0,648.0,548139.0,2.0658934365588921e-07,329376.0,0.0,0.0,465815.0,,329375.0,0.0,0.0,465814.0,
246501.0,19.0,583.0,548233.0,2.017951656182677e-07,329297.0,0.0,0.0,465909.0,,329301.0,0.0,0.0,465906.0,
246498.0,10.0,239.0,548589.0,2.036901111608228e-07,329021.0,0.0,0.0,466264.0,,329022.0,0.0,0.0,466261.0,
246496.0,5.0,230.0,548605.0,1.2346968149055422e-07,329009.0,0.0,0.0,466280.0,,329009.0,0.0,0.0,466277.0,
246492.0,6.0,113.0,548725.0,1.077060211543242e-07,328910.0,0.0,0.0,466399.0,,328917.0,0.0,0.0,466394.0,
246492.0,4.0,86.0,548754.0,9.434713480960183e-08,328887.0,0.0,0.0,466428.0,,328892.0,0.0,0.0,466423.0,
246490.0,2.0,57.0,548787.0,2.846989273256166e-07,328862.0,0.0,0.0,466460.0,,328868.0,0.0,0.0,466456.0,
